,cnpj,faturamento,funcionarios,total_protesto,valor_protesto
225,08.313.402/0001-58,de 100.000.000 até 300.000.000,de 100 até 500,0,-
226,81.343.907/0001-55,de 360.000 até 1.500.000,de 10 até 50,0,-
227,04.626.152/0001-55,de 100.000.000 até 300.000.000,de 100 até 500,0,-
228,06.985.471/0001-82,de 30.000.000 até 100.000.000,de 100 até 500,0,-
229,83.092.502/0001-17,de 4.800.000 até 10.000.000,de 100 até 500,0,-
230,80.096.050/0001-53,de 10.000.000 até 30.000.000,de 50 até 100,0,-
231,00.675.356/0001-25,de 30.000.000 até 100.000.000,de 50 até 100,0,-
232,04.908.287/0001-03,de 1.500.000 até 4.800.000,de 100 até 500,9,"3.204.405,82"
233,08.149.256/0001-77,de 360.000 até 1.500.000,de 10 até 50,0,-
234,04.310.364/0001-29,de 100.000.000 até 300.000.000,de 100 até 500,1,"625,79"
235,88.268.545/0001-24,de 1.500.000 até 4.800.000,de 100 até 500,111,"1.452.530,69"
236,00.056.633/0001-11,de 30.000.000 até 100.000.000,acima de 500,0,-
237,94.495.637/0001-40,de 30.000.000 até 100.000.000,de 100 até 500,0,-
238,07.985.980/0001-78,de 81.000 até 360.000,de 10 até 50,0,-
239,82.640.558/0001-04,de 300.000.000 até 500.000.000,de 100 até 500,2,"16.652,00"
240,85.778.074/0001-06,de 100.000.000 até 300.000.000,de 100 até 500,0,-
241,00.164.925/0001-78,de 30.000.000 até 100.000.000,de 100 até 500,0,-
242,11.532.304/0001-16,de 10.000.000 até 30.000.000,de 50 até 100,818,"3.033.873,83"
243,02.232.872/0001-00,de 10.000.000 até 30.000.000,de 100 até 500,115,"4.892.483,39"
244,79.386.132/0001-53,de 10.000.000 até 30.000.000,de 50 até 100,83,"2.512.002,19"
245,82.901.000/0001-27,acima de 1.000.000.000,de 100 até 500,0,-
246,06.101.244/0001-47,de 30.000.000 até 100.000.000,de 100 até 500,0,-
247,05.783.903/0001-00,de 30.000.000 até 100.000.000,acima de 500,32,"179.406,70"
248,07.756.543/0001-82,de 30.000.000 até 100.000.000,de 50 até 100,7,"259.392,90"
249,84.432.111/0001-67,acima de 1.000.000.000,de 100 até 500,0,-
250,02.006.655/0001-00,de 1.500.000 até 4.800.000,de 10 até 50,0,-
